Name,fieldGoalMade,fieldGoalAttempted,
"Aguayo, Roberto",22,31,
"Akers, David",124,156,
"Andrus, Shane",2,4,
"Bailey, Dan",171,191,
"Barth, Connor",133,156,
"Boswell, Chris",50,57,
"Bryant, Matt",189,212,
"Bullock, Randy",83,102,
"Carney, John",5,6,
"Carpenter, Dan",190,228,
"Catanzaro, Chandler",78,92,
"Crosby, Mason",177,217,
"Dawson, Phil",175,203,
"Feely, Jay",101,119,
"Folk, Nick",175,213,
"Forbath, Kai",84,97,
"Franks, Andrew",29,37,
"Gano, Graham",177,223,
"Gostkowski, Stephen",200,227,
"Gould, Robbie",152,177,
"Hanson, Jason",68,79,
"Hartley, Garrett",63,80,
"Hauschka, Steven",181,204,
"Hopkins, Dustin",59,70,
"Janikowski, Sebastian",185,223,
"Kaeding, Nate",31,38,
"Kasay, John",53,63,
"Koenen, Michael",0,0,
"Lambo, Josh",52,64,
"Lechler, Shane",0,0,
"Lindell, Rian",73,89,
"Lutz, Wil",28,34,
"Mare, Olindo",53,66,
"McManus, Brandon",68,82,
"Myers, Jason",53,64,
"Nedney, Joe",11,13,
"Novak, Nick",154,179,
"Parkey, Cody",55,65,
"Pettrey, Aaron",2,4,
"Prater, Matt",160,187,
"Rackers, Neil",59,68,
"Rayner, Dave",23,31,
"Reed, Jeff",24,32,
"Santos, Cairo",86,102,
"Scobee, Josh",119,142,
"Sturgis, Caleb",108,134,
"Succop, Ryan",149,180,
"Tucker, Justin",168,187,
"Vinatieri, Adam",192,217,
"Walsh, Blair",133,158,
"Welker, Wes",0,0,
"Zuerlein, Greg",112,141,
